Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
PARC CLEMATIS,"1,608,000",721.19,"2,230",Feb-26,JALAN LEMPENG,Resale,Strata,67,"24,000",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,11 to 15
EDELWEISS PARK CONDOMINIUM,"782,500",710.42,"1,101",Feb-26,FLORA ROAD,Resale,Strata,66,"11,856",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
GEM RESIDENCES,"918,000",484.38,"1,895",Feb-26,LORONG 5 TOA PAYOH,Resale,Strata,45,"20,400",-,Condominium,1,99 yrs lease commencing from 2015,12,Rest of Central Region,31 to 35
RIPPLE BAY,"1,118,000",796.54,"1,404",Feb-26,PASIR RIS LINK,Resale,Strata,74,"15,108",-,Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,06 to 10
BAYSHORE PARK,"1,268,000",936.47,"1,354",Feb-26,BAYSHORE ROAD,Resale,Strata,87,"14,575",-,Condominium,1,99 yrs lease commencing from 1982,16,Outside Central Region,06 to 10
D'NEST,"2,211,800","1,431.61","1,545",Feb-26,PASIR RIS GROVE,Resale,Strata,133,"16,630",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,06 to 10
HARBOUR VIEW TOWERS,"2,438,000","1,614.6","1,510",Feb-26,TELOK BLANGAH DRIVE,Resale,Strata,150,"16,253",-,Condominium,1,99 yrs lease commencing from 1990,04,Rest of Central Region,21 to 25
TREASURE AT TAMPINES,"2,278,000","1,237.86","1,840",Feb-26,TAMPINES LANE,Resale,Strata,115,"19,809",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,01 to 05
THE INFLORA,"1,300,000","1,033.34","1,258",Feb-26,FLORA DRIVE,Resale,Strata,96,"13,542",-,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,01 to 05
CASCADALE,"1,900,000","1,560.78","1,217",Feb-26,UPPER CHANGI ROAD EAST,Resale,Strata,145,"13,103",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
SIMS URBAN OASIS,"2,088,000",958,"2,180",Feb-26,SIMS DRIVE,Resale,Strata,89,"23,461",-,Condominium,1,99 yrs lease commencing from 2014,14,Rest of Central Region,06 to 10
CITYLIGHTS,"1,900,000",904.18,"2,101",Feb-26,JELLICOE ROAD,Resale,Strata,84,"22,619",-,Condominium,1,99 yrs lease commencing from 2004,08,Rest of Central Region,16 to 20
THE WATERSIDE,"4,900,000","2,142.04","2,288",Feb-26,TANJONG RHU ROAD,Resale,Strata,199,"24,623",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
RIVERVALE CREST,"998,000",936.47,"1,066",Feb-26,RIVERVALE CRESCENT,Resale,Strata,87,"11,471",-,Apartment,1,99 yrs lease commencing from 1997,19,Outside Central Region,06 to 10
PARC ESTA,"1,880,000",861.12,"2,183",Feb-26,SIMS AVENUE,Resale,Strata,80,"23,500",-,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,16 to 20
NEWTON EDGE,"1,680,000",807.3,"2,081",Feb-26,MAKEWAY AVENUE,Resale,Strata,75,"22,400",-,Apartment,1,Freehold,09,Core Central Region,06 to 10
PARC RIVIERA,"1,850,000",990.29,"1,868",Feb-26,WEST COAST VALE,Resale,Strata,92,"20,109",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,31 to 35
TREASURE AT TAMPINES,"960,000",581.26,"1,652",Feb-26,TAMPINES LANE,Resale,Strata,54,"17,778",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,01 to 05
CHANCERY PARK,"3,400,000","1,679.18","2,025",Feb-26,CHANCERY LANE,Resale,Strata,156,"21,795",-,Condominium,1,Freehold,11,Core Central Region,01 to 05
WESTCOVE CONDOMINIUM,"1,650,000","1,517.72","1,087",Feb-26,WEST COAST CRESCENT,Resale,Strata,141,"11,702",-,Condominium,1,99 yrs lease commencing from 1995,05,Outside Central Region,01 to 05
THE POIZ RESIDENCES,"818,000",419.8,"1,949",Feb-26,MEYAPPA CHETTIAR ROAD,Resale,Strata,39,"20,974",-,Apartment,1,99 yrs lease commencing from 2014,13,Rest of Central Region,01 to 05
TANJONG RIA CONDOMINIUM,"1,430,000",925.7,"1,545",Feb-26,TANJONG RHU ROAD,Resale,Strata,86,"16,628",-,Condominium,1,99 yrs lease commencing from 1993,15,Rest of Central Region,01 to 05
CHILTERN PARK,"1,632,000",914.94,"1,784",Feb-26,SERANGOON AVENUE 3,Resale,Strata,85,"19,200",-,Condominium,1,99 yrs lease commencing from 1991,19,Outside Central Region,06 to 10
THE LANAI,"2,300,000","1,302.44","1,766",Feb-26,HILLVIEW AVENUE,Resale,Strata,121,"19,008",-,Condominium,1,999 yrs lease commencing from 1885,23,Outside Central Region,01 to 05
URBAN VISTA,"728,000",441.32,"1,650",Feb-26,TANAH MERAH KECHIL LINK,Resale,Strata,41,"17,756",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,11 to 15
THE TOMLINSON,"6,300,000","2,346.55","2,685",Feb-26,CUSCADEN ROAD,Resale,Strata,218,"28,899",-,Apartment,1,Freehold,10,Core Central Region,11 to 15
SELETAR PARK RESIDENCE,"2,090,000","1,377.79","1,517",Feb-26,SELETAR ROAD,Resale,Strata,128,"16,328",-,Condominium,1,99 yrs lease commencing from 2011,28,Outside Central Region,01 to 05
HILLCREST ARCADIA,"1,980,000","1,420.85","1,394",Feb-26,ARCADIA ROAD,Resale,Strata,132,"15,000",-,Condominium,1,99 yrs lease commencing from 1975,11,Core Central Region,06 to 10
ENVIO,"1,100,000",731.95,"1,503",Feb-26,JOO CHIAT PLACE,Resale,Strata,68,"16,176",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
HIGH PARK RESIDENCES,"1,010,000",592.02,"1,706",Feb-26,FERNVALE ROAD,Resale,Strata,55,"18,364",-,Apartment,1,99 yrs lease commencing from 2014,28,Outside Central Region,21 to 25
THE BAYSHORE,"1,310,000",979.52,"1,337",Feb-26,BAYSHORE ROAD,Resale,Strata,91,"14,396",-,Condominium,1,99 yrs lease commencing from 1993,16,Outside Central Region,26 to 30
TAN TONG MENG TOWER,"3,650,000","3,239.96","1,127",Feb-26,THOMSON ROAD,Resale,Strata,301,"12,126",-,Apartment,1,Freehold,11,Core Central Region,06 to 10
KOVAN REGENCY,"1,820,000",893.41,"2,037",Feb-26,KOVAN RISE,Resale,Strata,83,"21,928",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
THE VIEW @ MEYER,"2,600,000","1,065.64","2,440",Feb-26,MEYER ROAD,Resale,Strata,99,"26,263",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
BARTLEY RIDGE,"1,770,000",850.36,"2,081",Feb-26,MOUNT VERNON ROAD,Resale,Strata,79,"22,405",-,Condominium,1,99 yrs lease commencing from 2012,13,Rest of Central Region,11 to 15
EUPHONY GARDENS,"1,050,000","1,076.4",975,Feb-26,JALAN MATA AYER,Resale,Strata,100,"10,500",-,Condominium,1,99 yrs lease commencing from 1998,27,Outside Central Region,01 to 05
ARCHIPELAGO,"885,000",667.37,"1,326",Feb-26,BEDOK RESERVOIR ROAD,Resale,Strata,62,"14,274",-,Condominium,1,99 yrs lease commencing from 2011,16,Outside Central Region,01 to 05
TREASURE AT TAMPINES,"2,385,000","1,237.86","1,927",Feb-26,TAMPINES LANE,Resale,Strata,115,"20,739",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,01 to 05
NORMANTON PARK,"2,587,000","1,194.8","2,165",Feb-26,NORMANTON PARK,Resale,Strata,111,"23,306",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,01 to 05
SKYLINE RESIDENCES,"3,118,888","1,345.5","2,318",Feb-26,TELOK BLANGAH ROAD,Resale,Strata,125,"24,951",-,Condominium,1,Freehold,04,Rest of Central Region,21 to 25
WATERTOWN,"980,000",570.49,"1,718",Feb-26,PUNGGOL CENTRAL,Resale,Strata,53,"18,491",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
RIVERIA GARDENS,"2,380,000",968.76,"2,457",Feb-26,RIVER VALLEY GROVE,Resale,Strata,90,"26,444",-,Apartment,1,Freehold,09,Core Central Region,06 to 10
PARC ESTA,"3,600,000","1,399.32","2,573",Feb-26,SIMS AVENUE,Resale,Strata,130,"27,692",-,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,16 to 20
THE CASCADIA,"1,980,000",882.65,"2,243",Feb-26,BUKIT TIMAH ROAD,Resale,Strata,82,"24,146",-,Condominium,1,Freehold,21,Rest of Central Region,01 to 05
CARIBBEAN AT KEPPEL BAY,"3,480,000","2,281.97","1,525",Feb-26,KEPPEL BAY DRIVE,Resale,Strata,212,"16,415",-,Condominium,1,99 yrs lease commencing from 1999,04,Rest of Central Region,01 to 05
PARC BOTANNIA,"1,150,000",667.37,"1,723",Feb-26,FERNVALE STREET,Resale,Strata,62,"18,548",-,Condominium,1,99 yrs lease commencing from 2016,28,Outside Central Region,11 to 15
THE CREST,"1,600,000",775.01,"2,064",Feb-26,PRINCE CHARLES CRESCENT,Resale,Strata,72,"22,222",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,16 to 20
JUI RESIDENCES,"1,358,888",710.42,"1,913",Feb-26,SERANGOON ROAD,Resale,Strata,66,"20,589",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10
WOODGROVE CONDOMINIUM,"2,138,000","2,034.4","1,051",Feb-26,WOODGROVE DRIVE,Resale,Strata,189,"11,312",-,Condominium,1,99 yrs lease commencing from 1997,25,Outside Central Region,01 to 05
SOPHIA HILLS,"1,480,000",710.42,"2,083",Feb-26,MOUNT SOPHIA,Resale,Strata,66,"22,424",-,Condominium,1,99 yrs lease commencing from 2013,09,Core Central Region,01 to 05
FUYUEN COURT,"1,470,000","1,140.98","1,288",Feb-26,LORONG 35 GEYLANG,Resale,Strata,106,"13,868",-,Apartment,1,Freehold,14,Rest of Central Region,06 to 10
BALMORAL PLAZA,"4,000,000","2,378.84","1,681",Feb-26,BUKIT TIMAH ROAD,Resale,Strata,221,"18,100",-,Apartment,1,Freehold,10,Core Central Region,01 to 05
STELLAR RV,"1,030,000",538.2,"1,914",Feb-26,RIVER VALLEY ROAD,Resale,Strata,50,"20,600",-,Apartment,1,Freehold,10,Core Central Region,01 to 05
FLO RESIDENCE,"1,520,000","1,011.82","1,502",Feb-26,PUNGGOL FIELD WALK,Resale,Strata,94,"16,170",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
MANDARIN GARDENS,"1,150,000",828.83,"1,388",Feb-26,SIGLAP ROAD,Resale,Strata,77,"14,935",-,Condominium,1,99 yrs lease commencing from 1982,15,Outside Central Region,16 to 20
ECHELON,"1,620,000",731.95,"2,213",Feb-26,ALEXANDRA VIEW,Resale,Strata,68,"23,824",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,21 to 25
SIMS URBAN OASIS,"1,270,000",667.37,"1,903",Feb-26,SIMS DRIVE,Resale,Strata,62,"20,484",-,Condominium,1,99 yrs lease commencing from 2014,14,Rest of Central Region,01 to 05
NINE RESIDENCES,"1,250,000",904.18,"1,382",Feb-26,YISHUN AVENUE 9,Resale,Strata,84,"14,881",-,Apartment,1,99 yrs lease commencing from 2013,27,Outside Central Region,06 to 10
RIVERBAY,"1,600,000",958,"1,670",Feb-26,MAR THOMA ROAD,Resale,Strata,89,"17,978",-,Apartment,1,999 yrs lease commencing from 1882,12,Rest of Central Region,21 to 25
WATERTOWN,"2,860,000","1,356.26","2,109",Feb-26,PUNGGOL CENTRAL,Resale,Strata,126,"22,698",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
ATRIUM RESIDENCES,"1,670,000","1,054.87","1,583",Feb-26,LORONG 28 GEYLANG,Resale,Strata,98,"17,041",-,Apartment,1,Freehold,14,Rest of Central Region,06 to 10
OLEANDER TOWERS,"1,860,000","1,151.75","1,615",Feb-26,LORONG 1 TOA PAYOH,Resale,Strata,107,"17,383",-,Apartment,1,99 yrs lease commencing from 1995,12,Rest of Central Region,16 to 20
SEASTRAND,"727,500",570.49,"1,275",Feb-26,PASIR RIS LINK,Resale,Strata,53,"13,726",-,Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,11 to 15
SANCTUARY GREEN,"2,700,000","1,636.13","1,650",Feb-26,TANJONG RHU ROAD,Resale,Strata,152,"17,763",-,Condominium,1,99 yrs lease commencing from 1997,15,Rest of Central Region,01 to 05
COMMONWEALTH TOWERS,"2,712,000","1,033.34","2,624",Feb-26,COMMONWEALTH AVENUE,Resale,Strata,96,"28,250",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,41 to 45
GUILIN VIEW,"1,520,000","1,259.39","1,207",Feb-26,BUKIT BATOK STREET 52,Resale,Strata,117,"12,991",-,Condominium,1,99 yrs lease commencing from 1996,23,Outside Central Region,01 to 05
THE MILTONIA RESIDENCES,"1,030,000",839.59,"1,227",Feb-26,MILTONIA CLOSE,Resale,Strata,78,"13,205",-,Condominium,1,99 yrs lease commencing from 2010,27,Outside Central Region,01 to 05
MONTROSA,"1,490,000","1,151.75","1,294",Feb-26,HILLVIEW AVENUE,Resale,Strata,107,"13,925",-,Condominium,1,999 yrs lease commencing from 1885,23,Outside Central Region,06 to 10
FLAMINGO VALLEY,"1,580,000",818.06,"1,931",Feb-26,SIGLAP ROAD,Resale,Strata,76,"20,789",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
SYMPHONY HEIGHTS,"1,700,000","1,076.4","1,579",Feb-26,HUME AVENUE,Resale,Strata,100,"17,000",-,Condominium,1,Freehold,21,Outside Central Region,01 to 05
SUMMERHILL,"3,120,000","1,603.84","1,945",Feb-26,HUME AVENUE,Resale,Strata,149,"20,940",-,Condominium,1,Freehold,21,Outside Central Region,01 to 05
KOPAR AT NEWTON,"2,280,000",914.94,"2,492",Feb-26,MAKEWAY AVENUE,Resale,Strata,85,"26,824",-,Apartment,1,99 yrs lease commencing from 2019,09,Core Central Region,01 to 05
DUO RESIDENCES,"2,480,000","1,001.05","2,477",Feb-26,FRASER STREET,Resale,Strata,93,"26,667",-,Apartment,1,99 yrs lease commencing from 2011,07,Core Central Region,41 to 45
SPOTTISWOODE PARK,"1,100,000","1,270.15",866,Feb-26,SPOTTISWOODE PARK ROAD,Resale,Strata,118,"9,322",-,Apartment,1,99 yrs lease commencing from 1976,02,Rest of Central Region,11 to 15
EMERY POINT,"2,388,000","1,302.44","1,833",Feb-26,IPOH LANE,Resale,Strata,121,"19,736",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
THE TRIZON,"4,200,000","2,066.69","2,032",Feb-26,RIDGEWOOD CLOSE,Resale,Strata,192,"21,875",-,Condominium,1,Freehold,10,Core Central Region,06 to 10
LE QUEST,"1,690,000","1,022.58","1,653",Feb-26,BUKIT BATOK STREET 41,Resale,Strata,95,"17,789",-,Apartment,1,99 yrs lease commencing from 2016,23,Outside Central Region,11 to 15
THE ARCADIA,"4,800,000","4,671.58","1,027",Feb-26,ARCADIA ROAD,Resale,Strata,434,"11,060",-,Condominium,1,99 yrs lease commencing from 1979,11,Core Central Region,01 to 05
PARC BLEU,"1,530,000","1,194.8","1,281",Feb-26,JOO CHIAT PLACE,Resale,Strata,111,"13,784",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
THE JOVELL,"1,575,000","1,033.34","1,524",Feb-26,FLORA DRIVE,Resale,Strata,96,"16,406",-,Condominium,1,99 yrs lease commencing from 2018,17,Outside Central Region,01 to 05
BOTANNIA,"2,280,000","1,270.15","1,795",Feb-26,WEST COAST PARK,Resale,Strata,118,"19,322",-,Condominium,1,956 yrs lease commencing from 1928,05,Outside Central Region,01 to 05
THE SUITES AT CENTRAL,"3,690,000","1,453.14","2,539",Feb-26,DEVONSHIRE ROAD,Resale,Strata,135,"27,333",-,Condominium,1,Freehold,09,Core Central Region,01 to 05
FOURTH AVENUE RESIDENCES,"1,380,000",645.84,"2,137",Feb-26,FOURTH AVENUE,Resale,Strata,60,"23,000",-,Apartment,1,99 yrs lease commencing from 2018,10,Core Central Region,01 to 05
LAKE GRANDE,"785,000",516.67,"1,519",Feb-26,JURONG LAKE LINK,Resale,Strata,48,"16,354",-,Condominium,1,99 yrs lease commencing from 2015,22,Outside Central Region,01 to 05
HILLION RESIDENCES,"815,000",462.85,"1,761",Feb-26,JELEBU ROAD,Resale,Strata,43,"18,953",-,Apartment,1,99 yrs lease commencing from 2013,23,Outside Central Region,06 to 10
SYMPHONY SUITES,"1,420,000","1,022.58","1,389",Feb-26,YISHUN CLOSE,Resale,Strata,95,"14,947",-,Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,01 to 05
UPTOWN @ FARRER,"2,270,000","1,184.04","1,917",Feb-26,PERUMAL ROAD,Resale,Strata,110,"20,636",-,Apartment,1,99 yrs lease commencing from 2017,08,Rest of Central Region,06 to 10
CORALS AT KEPPEL BAY,"1,780,000",990.29,"1,797",Feb-26,KEPPEL BAY DRIVE,Resale,Strata,92,"19,348",-,Condominium,1,99 yrs lease commencing from 2007,04,Rest of Central Region,01 to 05
THE TATE RESIDENCES,"6,928,000","2,185.09","3,171",Feb-26,CLAYMORE ROAD,Resale,Strata,203,"34,128",-,Condominium,1,Freehold,09,Core Central Region,11 to 15
RIVERTREES RESIDENCES,"1,485,000",947.23,"1,568",Feb-26,FERNVALE CLOSE,Resale,Strata,88,"16,875",-,Apartment,1,99 yrs lease commencing from 2013,28,Outside Central Region,06 to 10
VIDA,"2,045,000",861.12,"2,375",Feb-26,PECK HAY ROAD,Resale,Strata,80,"25,563",-,Apartment,1,Freehold,09,Core Central Region,06 to 10
D'LEEDON,"3,780,000","1,711.48","2,209",Feb-26,LEEDON HEIGHTS,Resale,Strata,159,"23,774",-,Condominium,1,99 yrs lease commencing from 2010,10,Core Central Region,16 to 20
LAGUNA PARK,"1,870,000","1,453.14","1,287",Feb-26,MARINE PARADE ROAD,Resale,Strata,135,"13,852",-,Apartment,1,99 yrs lease commencing from 1977,15,Outside Central Region,21 to 25
NORMANTON PARK,"2,168,000","1,087.16","1,994",Feb-26,NORMANTON PARK,Resale,Strata,101,"21,465",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,01 to 05
THE HILLIER,"925,000",624.31,"1,482",Feb-26,HILLVIEW RISE,Resale,Strata,58,"15,948",-,Apartment,1,99 yrs lease commencing from 2011,23,Outside Central Region,16 to 20
D'LEEDON,"2,900,000","1,345.5","2,155",Feb-26,LEEDON HEIGHTS,Resale,Strata,125,"23,200",-,Condominium,1,99 yrs lease commencing from 2010,10,Core Central Region,16 to 20
MARTIN MODERN,"2,080,000",764.24,"2,722",Feb-26,MARTIN PLACE,Resale,Strata,71,"29,296",-,Condominium,1,99 yrs lease commencing from 2016,09,Core Central Region,11 to 15
THE COAST AT SENTOSA COVE,"3,025,000","2,023.63","1,495",Feb-26,OCEAN DRIVE,Resale,Strata,188,"16,090",-,Condominium,1,99 yrs lease commencing from 2006,04,Core Central Region,01 to 05
MARTIN PLACE RESIDENCES,"5,168,800","1,722.24","3,001",Feb-26,MARTIN PLACE,Resale,Strata,160,"32,305",-,Condominium,1,Freehold,09,Core Central Region,26 to 30
AMARYLLIS VILLE,"2,030,000","1,033.34","1,964",Feb-26,NEWTON ROAD,Resale,Strata,96,"21,146",-,Condominium,1,99 yrs lease commencing from 1997,11,Core Central Region,01 to 05
HOMEY GARDENS,"2,670,000","1,743.77","1,531",Feb-26,LORONG M TELOK KURAU,Resale,Strata,162,"16,481",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
RIVERFRONT RESIDENCES,"1,260,000",721.19,"1,747",Feb-26,HOUGANG AVENUE 7,Resale,Strata,67,"18,806",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
SUITES @ NEWTON,"1,320,000",602.78,"2,190",Feb-26,SURREY ROAD,Resale,Strata,56,"23,571",-,Apartment,1,Freehold,11,Core Central Region,06 to 10
WHISTLER GRAND,"2,035,000",958,"2,124",Feb-26,WEST COAST VALE,Resale,Strata,89,"22,865",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,26 to 30
BRADDELL VIEW,"1,850,000","1,700.71","1,088",Feb-26,BRADDELL HILL,Resale,Strata,158,"11,709",-,Apartment,1,103 yrs lease commencing from 1977,20,Rest of Central Region,16 to 20
THE POIZ RESIDENCES,"823,000",419.8,"1,960",Feb-26,MEYAPPA CHETTIAR ROAD,Resale,Strata,39,"21,103",-,Apartment,1,99 yrs lease commencing from 2014,13,Rest of Central Region,06 to 10
GOODWOOD GRAND,"3,600,000","1,227.1","2,934",Feb-26,BALMORAL ROAD,Resale,Strata,114,"31,579",-,Apartment,1,Freehold,10,Core Central Region,01 to 05
IRWELL HILL RESIDENCES,"995,000",398.27,"2,498",Feb-26,IRWELL HILL,Resale,Strata,37,"26,892",-,Apartment,1,99 yrs lease commencing from 2020,09,Core Central Region,26 to 30
NEWTON 21,"2,580,000","1,065.64","2,421",Feb-26,NEWTON ROAD,Resale,Strata,99,"26,061",-,Apartment,1,Freehold,11,Core Central Region,21 to 25
THE GATZ,"1,920,000","1,054.87","1,820",Feb-26,LORONG 32 GEYLANG,Resale,Strata,98,"19,592",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
THE LAKESHORE,"1,710,000","1,140.98","1,499",Feb-26,JURONG WEST STREET 41,Resale,Strata,106,"16,132",-,Condominium,1,99 yrs lease commencing from 2002,22,Outside Central Region,11 to 15
VISIONCREST,"1,950,000",914.94,"2,131",Feb-26,OXLEY RISE,Resale,Strata,85,"22,941",-,Apartment,1,Freehold,09,Core Central Region,06 to 10
CARABELLE,"1,800,000",947.23,"1,900",Feb-26,WEST COAST WAY,Resale,Strata,88,"20,455",-,Condominium,1,956 yrs lease commencing from 1928,05,Outside Central Region,06 to 10
MANDARIN GARDENS,"2,180,000","1,571.54","1,387",Feb-26,SIGLAP ROAD,Resale,Strata,146,"14,932",-,Condominium,1,99 yrs lease commencing from 1982,15,Outside Central Region,21 to 25
DOMUS,"2,650,000","1,367.03","1,939",Feb-26,IRRAWADDY ROAD,Resale,Strata,127,"20,866",-,Apartment,1,Freehold,12,Rest of Central Region,16 to 20
THE BLOSSOMVALE,"3,250,000","1,571.54","2,068",Feb-26,DUNEARN ROAD,Resale,Strata,146,"22,260",-,Condominium,1,999 yrs lease commencing from 1884,21,Rest of Central Region,01 to 05
PARC ESTA,"988,000",452.09,"2,185",Feb-26,SIMS AVENUE,Resale,Strata,42,"23,524",-,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,06 to 10
LAKEVIEW ESTATE,"1,700,000","1,614.6","1,053",Feb-26,UPPER THOMSON ROAD,Resale,Strata,150,"11,333",-,Apartment,1,99 yrs lease commencing from 1977,20,Rest of Central Region,11 to 15
TIARA,"3,260,000","1,302.44","2,503",Feb-26,KIM SENG WALK,Resale,Strata,121,"26,942",-,Condominium,1,Freehold,09,Core Central Region,11 to 15
THE TRUMPS,"2,328,000","1,291.68","1,802",Feb-26,JALAN KEMBANGAN,Resale,Strata,120,"19,400",-,Condominium,1,99 yrs lease commencing from 2000,14,Outside Central Region,11 to 15
10 SHELFORD,"1,070,000",818.06,"1,308",Feb-26,SHELFORD ROAD,Resale,Strata,76,"14,079",-,Apartment,1,Freehold,11,Core Central Region,01 to 05
QUEENS,"2,288,000","1,184.04","1,932",Feb-26,STIRLING ROAD,Resale,Strata,110,"20,800",-,Condominium,1,99 yrs lease commencing from 1998,03,Rest of Central Region,31 to 35
SEASIDE RESIDENCES,"1,245,000",559.73,"2,224",Feb-26,SIGLAP LINK,Resale,Strata,52,"23,942",-,Apartment,1,99 yrs lease commencing from 2016,15,Outside Central Region,11 to 15
MAYSPRINGS,"1,550,000","1,291.68","1,200",Feb-26,PETIR ROAD,Resale,Strata,120,"12,917",-,Apartment,1,99 yrs lease commencing from 1994,23,Outside Central Region,16 to 20
